Stadtteil,Gesamt,Maennlich,Weiblich,SGBIII,SGBII,Deutsche,Auslaender,>20,20-<25,25-<54,55+,Langzeit,Schwerbehindert,Teilzeit
Altstadt,24,16,8,3,21,21,3,-,1,21,2,9,1,2
Vorstadt,55,37,18,11,44,44,11,-,2,44,9,19,3,5
Exerzierplatz,309,191,118,73,236,284,25,3,29,244,33,91,15,24
Damperhof,154,111,43,32,122,144,10,-,6,133,15,58,4,12
Brunswik,250,153,97,71,179,217,33,2,10,207,31,104,6,33
Düsternbrook,20,13,7,9,11,17,3,-,-,15,5,6,-,2
Blücherplatz,210,113,97,103,107,199,11,3,10,165,32,61,12,31
Wik,615,312,303,195,420,536,79,12,54,450,99,214,30,108
Ravensberg,375,229,146,122,253,345,30,5,15,308,47,126,17,47
Schreventeich,454,290,164,124,330,410,42,4,38,349,63,178,22,54
Südfriedhof,833,507,326,179,654,731,101,7,69,661,96,331,22,92
Gaarden-Ost,2316,1432,884,207,2109,1746,568,46,128,1911,231,888,70,228
Gaarden-Süd/Kronsburg,651,384,267,135,516,556,93,7,43,508,93,255,20,86
Hassee,813,522,291,165,648,715,98,10,70,640,93,293,30,108
Hasseldieksdamm,76,45,31,23,53,70,5,-,6,55,15,28,3,14
Ellerbek,388,228,160,75,313,315,73,10,28,288,62,159,14,55
Wellingdorf,549,309,240,122,427,462,86,10,47,406,86,209,17,89
Holtenau,177,101,76,59,118,166,11,3,10,137,27,59,12,26
Pries,340,186,154,91,249,299,41,4,28,248,60,123,18,58
Friedrichsort,104,62,42,30,74,87,16,2,11,70,21,37,6,17
Neumühlen/Dietrichsdorf,892,501,391,134,758,767,125,10,69,691,122,370,35,159
Elmschenhagen,752,435,317,203,549,667,84,27,62,549,114,256,25,118
Suchsdorf,242,142,100,105,137,221,21,6,24,161,51,67,7,51
Schilksee,147,75,72,62,85,129,17,1,5,100,41,56,7,22
Mettenhof,1793,977,816,222,1571,1343,444,51,141,1388,213,681,63,265
Russee,186,95,91,77,109,162,24,3,11,125,47,81,9,33
Meimersdorf,42,24,18,25,17,40,2,-,4,31,7,13,3,4
Moorsee,26,13,13,9,17,24,2,1,2,16,7,8,1,3
Wellsee,215,127,88,62,153,184,31,1,19,170,25,74,6,29
Rönne,7,2,5,5,2,7,-,-,1,3,3,2,2,2
nichtZuzuordnen,59,18,41,31,28,53,6,-,3,47,9,13,5,16
KielGesamt,13074,7650,5424,2764,10310,10961,2095,228,946,10141,1759,4869,485,1793
